source_message_id,chatid,target_message_id,text,Instrument name,Entry price 1,Entry price 2,Entry price 3,Entry price 4,Entry price 5,Take profit price 1,Take profit price 2,Take profit price 3,Take profit price 4,Take profit price 5,Stop loss price,Order Type
5667,'5492592958',3932,'GBPUSD buy now @ 1.24940 Tp open  Sl @ 1.24730',GBPUSD,1.24940,,,,,open,,,,,1.24730,Buy now
5668,'5492592958',3933,'XAUUSD sell now @ 1916 Tp @ 1911 Tp2 @ 1902  Sl @ 1922',XAUUSD,1916,,,,,1911,1902,,,,1922,Sell now
5671,'5492592958',3937,'XAUUSD hold it',XAUUSD,,,,,,,,,,,,
8308,'5492592958',4571,'XAUUSD SELL NOW    @ 1919  TP : 1915 TP : 1910  SL : 1928',XAUUSD,1919,,,,,1915,1910,,,,1928,Sell now
5672,'5492592958',3938,'GBPUSD 50+ pips SMASHED zero dd in just 15 minutes .. sharpe cloud',GBPUSD,15,,,,,,,,,,,
5676,'5492592958',3943,'GBPUSD hit Break even -',GBPUSD,,,,,,,,,,,,
1908,'5492592958',1832,'USDCAD both tp hutted 86+ pips 1:7rr zero Drawdown',DOW,,,,,,,,,,,,
8321,'5492592958',4580,'This trade also both tp hitted 85+ pips',,,,,,,,,,,,,
5679,'5492592958',3946,'This pips will not count just enjoy it',,,,,,,,,,,,,
5680,'5492592958',3947,'Am collecting 30 pips only from this trade',,30,,,,,,,,,,,
5681,'5492592958',3948,'Break even pips will not count of this trade',,,,,,,,,,,,,
1911,'5492592958',1835,'Just need some help',,,,,,,,,,,,,
5685,'5492592958',3951,'Video learning materials',,,,,,,,,,,,,
5690,'5492592958',3953,'GBPCHF NEXT MOVE POSSIBLE',GBPCHF,,,,,,,,,,,,
5691,'5492592958',3954,'AUDCHF NEXT MOVE POSSIBLE',AUDCHF,,,,,,,,,,,,
5692,'5492592958',3955,'CADCHF NEXT MOVE POSSIBLE',CADCHF,,,,,,,,,,,,
5693,'5492592958',3956,'BTCUSD NEXT MOVE POSSIBLE',,,,,,,,,,,,,
5694,'5492592958',3957,'XAUUSD NEXT MOVE POSSIBLE',XAUUSD,,,,,,,,,,,,
1927,'5492592958',1839,'?',,,,,,,,,,,,,
